Skin Type,Concern,Basic Routine,Targeted Treatment
Sensitive,Aging,Fragrance-Free Cleanser → Calming Mist → Centella Serum → Barrier Repair Moisturizer → Mineral SPF,"Peptide Serum (AM), Retinol (PM), Eye Cream"
Sensitive,Dullness,Fragrance-Free Cleanser → Calming Mist → Centella Serum → Barrier Repair Moisturizer → Mineral SPF,"Vitamin C Serum (AM), Lactic Acid Serum (2x/week)"
Sensitive,Dehydration,Fragrance-Free Cleanser → Calming Mist → Centella Serum → Barrier Repair Moisturizer → Mineral SPF,"Hyaluronic Acid (AM/PM), Sheet Masks (2x/week)"
Sensitive,Uneven Texture,Fragrance-Free Cleanser → Calming Mist → Centella Serum → Barrier Repair Moisturizer → Mineral SPF,"AHA/BHA Exfoliating Serum (PM, 2–3x/week)"
Sensitive,Dark Circles,Fragrance-Free Cleanser → Calming Mist → Centella Serum → Barrier Repair Moisturizer → Mineral SPF,Peptide Eye Cream (AM/PM)
Sensitive,Redness,Fragrance-Free Cleanser → Calming Mist → Centella Serum → Barrier Repair Moisturizer → Mineral SPF,"Centella Asiatica Serum (AM), Barrier Cream (PM)"
Normal,Acne-Prone,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,"Salicylic Acid Serum (PM), Clay Mask (2x/week)"
Normal,Hyperpigmentation,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,"Alpha Arbutin + Vitamin C (AM), Niacinamide (PM)"
Normal,Aging,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,"Peptide Serum (AM), Retinol (PM), Eye Cream"
Normal,Dullness,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,"Vitamin C Serum (AM), Lactic Acid Serum (2x/week)"
Normal,Dehydration,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,"Hyaluronic Acid (AM/PM), Sheet Masks (2x/week)"
Normal,Uneven Texture,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,"AHA/BHA Exfoliating Serum (PM, 2–3x/week)"
Normal,Dark Circles,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,Peptide Eye Cream (AM/PM)
Normal,Redness,Gentle Cleanser → Hydrating Toner → Brightening Serum → Light Moisturizer → Daily Sunscreen,"Centella Asiatica Serum (AM), Barrier Cream (PM)"
